numero,titulo,descripcion,precio,categoria,tipo_regalo,tickets_disponibles,imagen_url,imagen_local,link
1,Noche de hospedaje,,S/ 2000.00,Luna de Miel,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F6971832265e2b.jpg&w=640&q=75,imagenes_regalos/regalo_001.jpg,
5,Cesto de ropa,,S/ 150.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69717e7fbde04.jpg&w=640&q=75,imagenes_regalos/regalo_005.jpg,
7,Decantador de vino,,S/ 209.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69717f70a79ba.jpg&w=640&q=75,imagenes_regalos/regalo_007.jpg,
8,Set de vasos whisky,,S/ 195.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69718045d87fa.jpg&w=640&q=75,imagenes_regalos/regalo_008.jpg,
16,Coctelera y utensilios bar,,S/ 209.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F6971802eeee5f.jpg&w=640&q=75,imagenes_regalos/regalo_016.jpg,
17,Plancha,,S/ 150.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69717c26adf16.jpg&w=640&q=75,imagenes_regalos/regalo_017.jpg,
19,Juego de botellas decoartivas,,S/ 225.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69725ad131ed5.jpg&w=640&q=75,imagenes_regalos/regalo_019.jpg,
22,Florero pequeño Marcelo Wong,,S/ 150.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2F3hU8rHU2naA6USRVsq258RIOPKVpWqKJj7XgR9rY.jpg&w=640&q=75,imagenes_regalos/regalo_022.jpg,
26,Crepera,,S/ 205.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2FfkPSZcmIRsU4jzNzkUAAM2uFq1hqXRQYRTI936zw.jpg&w=640&q=75,imagenes_regalos/regalo_026.jpg,
28,Tostadora,,S/ 229.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F696ede0ad0fc8.jpg&w=640&q=75,imagenes_regalos/regalo_028.jpg,
29,Juego de vajilla blanca,,S/ 260.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2FZsHlGdLFptQTr6BkT9SRSc3udfONw9GmCeY1itk8.jpg&w=640&q=75,imagenes_regalos/regalo_029.jpg,
30,Hervidor de huevos,,S/ 150.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2FEhxuWE6uL2mPxZ8hnat31dkelNqcrt9BtrQ7IZbj.jpg&w=640&q=75,imagenes_regalos/regalo_030.jpg,
31,Manta,,S/ 150.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69717ef9ded02.jpg&w=640&q=75,imagenes_regalos/regalo_031.jpg,
32,Batas de baño,,S/ 244.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69717e9966436.jpg&w=640&q=75,imagenes_regalos/regalo_032.jpg,
33,waflera doble linea,,S/ 229.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2FLFoHNP0CYjIFpiARNZGIbahAkTGWJTHkX9HzrfoY.jpg&w=640&q=75,imagenes_regalos/regalo_033.jpg,
34,Cubrecama,,S/ 230.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69718ae948384.jpg&w=640&q=75,imagenes_regalos/regalo_034.jpg,
35,Bed Topper Microfibra,,S/ 240.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F69718ac997b98.jpg&w=640&q=75,imagenes_regalos/regalo_035.jpg,
36,Ventilador de torre,,S/ 249.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2FunlCCcNkBixOHN5xg7Wj8m2eqF88D4GezPK1QEAd.jpg&w=640&q=75,imagenes_regalos/regalo_036.jpg,
38,Plancha de vapor,,S/ 250.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F695eda93770ed.jpg&w=640&q=75,imagenes_regalos/regalo_038.jpg,
39,Winer holder Marcelo Wong,,S/ 250.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2FhDj3IheLLqHoh8nzZqXVNUvp65m9RYSzPMc07Gq5.jpg&w=640&q=75,imagenes_regalos/regalo_039.jpg,
40,Picatodo kitchenaid,,S/ 265.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fapi-images%2Fgifts%2Fif6fSJAaWRyXVoAvVPgbEYNLykGXJzitOjVTgzuL.jpg&w=640&q=75,imagenes_regalos/regalo_040.jpg,
41,Extractor de jugos,,S/ 290.00,Nuestro hogar,Pago total,,https://sinenvolturas.com/_next/image?url=https%3A%2F%2Fapi.sinenvolturas.com%2Fimages%2Fgifts%2F696ede47508e0.jpg&w=640&q=75,imagenes_regalos/regalo_041.jpg,
